FID;Area;MUNCod;NOMMun;ZAT;UTAM
78;534980,804621999970000;11001,000000000000000;Bogotá;143,000000000000000;UTAM20
79;720219,765078000030000;11001,000000000000000;Bogotá;167,000000000000000;UTAM21
80;335958,068355000000000;11001,000000000000000;Bogotá;153,000000000000000;UTAM14
81;400455,437566999990000;11001,000000000000000;Bogotá;152,000000000000000;UTAM14
82;626313,344930000020000;11001,000000000000000;Bogotá;148,000000000000000;UTAM16
83;351551,297017999980000;11001,000000000000000;Bogotá;850,000000000000000;UTAM16
84;468206,257473999980000;11001,000000000000000;Bogotá;849,000000000000000;UTAM97
85;364541,142218999970000;11001,000000000000000;Bogotá;713,000000000000000;UTAM67
86;583849,924530999970000;11001,000000000000000;Bogotá;714,000000000000000;UTAM67
87;630710,236465999970000;11001,000000000000000;Bogotá;667,000000000000000;UTAM70
88;504078,336199000010000;11001,000000000000000;Bogotá;669,000000000000000;UTAM70
89;1019882,128520000000000;11001,000000000000000;Bogotá;544,000000000000000;UTAM85
90;162831,117937000000000;11001,000000000000000;Bogotá;545,000000000000000;UTAM48
91;660945,159954000030000;11001,000000000000000;Bogotá;543,000000000000000;UTAM49
92;578313,888278999950000;11001,000000000000000;Bogotá;945,000000000000000;UTAM69
93;639190,352312000000000;11001,000000000000000;Bogotá;567,000000000000000;UTAM85
94;247654,559142000010000;11001,000000000000000;Bogotá;568,000000000000000;UTAM85
95;1184219,463640000000000;11001,000000000000000;Bogotá;553,000000000000000;UTAM86
96;486197,083365999980000;11001,000000000000000;Bogotá;556,000000000000000;UTAM86
97;1315855,130930000000000;11001,000000000000000;Bogotá;558,000000000000000;UTAM87
98;633985,238993000010000;11001,000000000000000;Bogotá;554,000000000000000;UTAM86
99;1450907,756460000100000;11001,000000000000000;Bogotá;560,000000000000000;UTAM84
100;572001,666827999990000;11001,000000000000000;Bogotá;563,000000000000000;UTAM84
101;860961,547600000050000;11001,000000000000000;Bogotá;530,000000000000000;UTAM83
102;774312,120436999950000;11001,000000000000000;Bogotá;565,000000000000000;UTAM85
103;407959,145360999970000;11001,000000000000000;Bogotá;566,000000000000000;UTAM85
104;340992,380822999980000;11001,000000000000000;Bogotá;564,000000000000000;UTAM84
105;580247,102072000040000;11001,000000000000000;Bogotá;548,000000000000000;UTAM81
106;696073,781121999960000;11001,000000000000000;Bogotá;550,000000000000000;UTAM84
107;1147835,240350000100000;11001,000000000000000;Bogotá;551,000000000000000;UTAM84
108;914604,263498999990000;11001,000000000000000;Bogotá;557,000000000000000;UTAM87
109;607240,550486000020000;11001,000000000000000;Bogotá;248,000000000000000;UTAM88
110;274970,285523000000000;11001,000000000000000;Bogotá;264,000000000000000;UTAM88
111;201723,543119000010000;11001,000000000000000;Bogotá;479,000000000000000;UPR2
112;327157,553011999990000;11001,000000000000000;Bogotá;477,000000000000000;UTAM94
113;130779,535793000000000;11001,000000000000000;Bogotá;243,000000000000000;UTAM88
114;227959,818823999990000;11001,000000000000000;Bogotá;263,000000000000000;UTAM88
115;353652,658233000020000;11001,000000000000000;Bogotá;261,000000000000000;UTAM88
116;362703,733949000020000;11001,000000000000000;Bogotá;245,000000000000000;UTAM88
117;296197,053347999990000;11001,000000000000000;Bogotá;252,000000000000000;UTAM90
118;124425,340522000000000;11001,000000000000000;Bogotá;253,000000000000000;UTAM88
119;223990,027857999990000;11001,000000000000000;Bogotá;847,000000000000000;UTAM97
120;344115,873194999990000;11001,000000000000000;Bogotá;251,000000000000000;UTAM90
121;134309,392874000010000;11001,000000000000000;Bogotá;482,000000000000000;UTAM96
122;193072,468793000010000;11001,000000000000000;Bogotá;475,000000000000000;UTAM94
